[2026-04-25 06:14:48] FAILOVER  branch1 → HQ UNREACHABLE — failover triggered!
[2026-04-25 06:14:50] FAILOVER  branch2 → HQ UNREACHABLE — failover triggered!
[2026-04-25 06:14:52] FAILOVER  branch3 → HQ UNREACHABLE — failover triggered!
[2026-04-25 06:16:35] FAILOVER  branch1 → HQ UNREACHABLE — failover triggered!
[2026-04-25 06:16:37] FAILOVER  branch2 → HQ UNREACHABLE — failover triggered!
[2026-04-25 06:16:39] FAILOVER  branch3 → HQ UNREACHABLE — failover triggered!
[2026-05-02 03:43:13] FAILOVER  branch1 → HQ UNREACHABLE — failover triggered!
[2026-05-02 03:43:13] FAILOVER  branch2 → HQ UNREACHABLE — failover triggered!
[2026-05-02 03:43:13] FAILOVER  branch3 → HQ UNREACHABLE — failover triggered!
[2026-05-02 03:43:14] FAILOVER  branch4 → HQ UNREACHABLE — failover triggered!
[2026-05-02 03:51:42] FAILOVER  branch1 → HQ UNREACHABLE!
[2026-05-02 03:51:42] FAILOVER  branch2 → HQ UNREACHABLE!
[2026-05-02 03:51:42] FAILOVER  branch3 → HQ UNREACHABLE!
[2026-05-02 03:51:42] FAILOVER  branch4 → HQ UNREACHABLE!
[2026-05-02 04:07:58] FAILOVER  branch1 → HQ UNREACHABLE!
[2026-05-02 04:07:58] FAILOVER  branch2 → HQ UNREACHABLE!
[2026-05-02 04:07:58] FAILOVER  branch3 → HQ UNREACHABLE!
[2026-05-02 04:07:58] FAILOVER  branch4 → HQ UNREACHABLE!
[2026-05-02 04:38:29] OK        branch1 → HQ  0.7 ms
[2026-05-02 04:38:31] OK        branch2 → HQ  1.0 ms
[2026-05-02 04:38:33] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:38:33] FAILOVER  branch4 → HQ UNREACHABLE!
[2026-05-02 04:38:45] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:38:47] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:38:49] OK        branch3 → HQ  0.2 ms
[2026-05-02 04:39:01] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:39:03] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:39:05] OK        branch3 → HQ  0.0 ms
[2026-05-02 04:39:18] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:39:20] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:39:22] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:39:34] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:39:36] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:39:38] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:39:50] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:39:52] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:39:54] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:40:06] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:40:08] OK        branch2 → HQ  0.0 ms
[2026-05-02 04:40:10] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:40:22] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:40:24] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:40:26] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:40:38] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:40:40] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:40:42] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:40:54] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:40:57] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:40:59] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:41:11] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:41:13] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:41:15] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:41:27] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:41:29] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:41:31] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:41:43] OK        branch1 → HQ  0.0 ms
[2026-05-02 04:41:45] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:41:47] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:41:59] OK        branch1 → HQ  0.0 ms
[2026-05-02 04:42:01] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:42:03] OK        branch3 → HQ  0.0 ms
[2026-05-02 04:42:15] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:42:17] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:42:19] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:42:31] OK        branch1 → HQ  0.0 ms
[2026-05-02 04:42:33] OK        branch2 → HQ  0.0 ms
[2026-05-02 04:42:36] OK        branch3 → HQ  0.0 ms
[2026-05-02 04:42:48] OK        branch1 → HQ  0.2 ms
[2026-05-02 04:42:50] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:42:52] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:43:04] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:43:06] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:43:08] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:43:20] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:43:22] OK        branch2 → HQ  0.0 ms
[2026-05-02 04:43:24] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:43:36] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:43:38] OK        branch2 → HQ  0.0 ms
[2026-05-02 04:43:40] OK        branch3 → HQ  0.0 ms
[2026-05-02 04:43:52] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:43:54] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:43:56] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:44:08] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:44:10] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:44:12] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:44:25] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:44:27] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:44:29] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:44:41] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:44:43] OK        branch2 → HQ  0.0 ms
[2026-05-02 04:44:45] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:44:57] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:44:59] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:45:01] OK        branch3 → HQ  0.0 ms
[2026-05-02 04:45:13] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:45:15] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:45:17] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:45:29] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:45:31] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:45:33] OK        branch3 → HQ  0.0 ms
[2026-05-02 04:45:45] OK        branch1 → HQ  0.0 ms
[2026-05-02 04:45:48] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:45:50] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:46:02] OK        branch1 → HQ  0.0 ms
[2026-05-02 04:46:04] OK        branch2 → HQ  0.0 ms
[2026-05-02 04:46:06] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:46:18] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:46:20] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:46:22] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:46:34] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:46:36] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:46:38] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:46:50] OK        branch1 → HQ  0.0 ms
[2026-05-02 04:46:52] OK        branch2 → HQ  0.0 ms
[2026-05-02 04:46:54] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:47:06] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:47:08] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:47:11] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:47:23] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:47:25] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:47:27] OK        branch3 → HQ  0.0 ms
[2026-05-02 04:47:39] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:47:41] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:47:43] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:47:55] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:47:57] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:47:59] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:48:11] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:48:13] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:48:15] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:48:27] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:48:29] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:48:31] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:48:43] OK        branch1 → HQ  0.0 ms
[2026-05-02 04:48:46] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:48:48] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:48:51] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:48:53] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:48:55] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:48:55] FAILOVER  branch4 → HQ UNREACHABLE!
